,entity,summary,headline
2328,DIS,"Comcast Corp. offered 21st Century Fox Inc. at least 16 percent more for a chunk of its assets than Walt Disney Co., though regulatory concerns ultimately led controlling stockholder Rupert Murdoch to accept the lower bid.,,,,,,",Fox Reveals That Comcast Made Higher Bid Before Deal With Disney
2329,HES,"Hess Corporation ( HES ) will begin trading ex-dividend on March 16, 2018. A cash dividend payment of $0.25 per share is scheduled to be paid on.,,,,,,","Hess Corporation (HES) ExDividend Date Scheduled for March 16, 2018"
2330,T,nan,Top 50 Communication Services Stocks For April By Yield And Target Gains
2331,PCG,nan,Utilities sector upgraded at Morgan Stanley as riskier stock market looms
2332,RE,"Longbow Research predicts Apple will significantly raise its dividend and stock buyback authorization.,,,,,,",Apple could easily double its dividend and still just match other tech company payouts: Analyst
2333,AAP,"Kejriwal lashed out at the ruling Congress in the state and accused it of failing on all fronts.,,,,,,","AAP to contest all 13 LS seats in Punjab, no tieup on cards"
2334,XOM,nan,Monthly Review Of DivGro: March 2018
2335,EQT,"NA,,,,,,",Tracking George Soros's Portfolio  Q2 2018 Update
2336,IRM,nan,Will Rising Rates Derail This 11.95% Yielding REIT?
2337,LEN,nan,Lennar gains 8% as Q2 reflects first full quarter of CalAtlantic buy
2338,CNP,"U.S. gas and electric utility Centerpoint Energy said it would buy rival Vectren for about $6 billion to diversify its customer base and give it more scale.,,,,,,",US gas and electric utility CenterPoint Energy to buy rival Vectren in $6 billion deal
2339,HAL,"Shares of oilfield services provider Halliburton Co fell on Monday after the company warned that fourth-quarter earnings would come in below analysts forecasts amid ongoing weakness in the North American hydraulic fracturing market.,,,,,,","Halliburton forecasts lower fourthquarter profit, shares fall"
2340,ADM,"CHICAGO, Feb 21 (Reuters) - U.S. grain merchant Archer Daniels Midland Co would need to issue equity to help finance a proposed takeover of rival Bunge Ltd, according to investors and bond analysts, as a years-long slump in agricultural commodity ...,,,,,,",RPTHow to buy Bunge? Bond investors say ADM would likely issue equity
2341,JBHT,nan,J.B. Hunt Transport Services beat Q2 estimates
2342,VAR,"NA,,,,,,",Varian Medical Systems' (VAR) CEO Dow Wilson on Q1 2018 Results  Earnings Call Transcript
2343,EXR,nan,Best And Worst S&P 500 Stocks Of The Bull Market
2344,UTX,"The Dow Jones Industrial Average ended sharply lower Thursday afternoon as the stock market digested a second round of testimony from newly minted Federal Reserve Chairman Jerome Powell and the threat of tariffs on steel and aluminum imports. The ...,,,,,,","Dow skids 420 points as Trump says U.S. will institute steel, aluminum tariffs indefinitely"
2345,AMGN,"lowering medication Praluent sent shares of some of its rivals down in Monday premarket trade. Regeneron shares rose 1.6% premarket, while shares of its partner Sanofi sl...,,,,,,",Regeneron discounts on cholesterol drug sends some rival stocks downRegeneron Pharmaceuticals Inc.'s plans to lower the price of its cholesterol
2346,MPC,"NA,,,,,,",Tech Is Defenseless  Cramer's Mad Money (9/6/18)
2347,NOC,"Northrop Grumman's (NOC) advanced EHF system provides joint, interoperable, assured connectivity for war fighters in all military operations levels.,,,,,,",Northrop Grumman (NOC) Wins $429M Deal for EHF XDR Payloads
2348,TRV,"While doctors say passengers’ greatest health risk may be from fellow travelers, there is some risk if surfaces in cabins and bathrooms are not adequately cleaned.,,,,,,",Should You Worry About Getting Sick From a Plane Flight? Maybe
2349,DISCK,"The ""Halftime Report"" traders give their top stocks to watch for the second half.,,,,,,","Discovery Communications, Palo Alto Networks & Bank of America"
2350,ICE,"NA,,,,,,",Tracking William Von Mueffling's Cantillon Capital Management Portfolio  Q1 2018 Update
2351,V,"Yahoo Finance's Seana Smith on the stocks making headlines in intraday trading.,,,,,,","Stocks on the move: Tesla, Visa, Apple, Alaska Air"
2352,AWK,nan,DGI For The DIY: Q2 2018 Portfolio Update
2353,CTSH,"NA,,,,,,","Cognizant offers singledigit pay hike to key executives, CEO gets 3 per cent"
2354,COST,"month high, on the heels of the warehouse club's upbeat monthly sales report. The company reported overnight net sales for the five weeks ende...,,,,,,","Costco's stock rallies after upbeat monthly sales dataShares of Costco Wholesale Corp. ran up 2.5% in morning trade Thursday, putting them on course for a one"
2355,AMD,"Advanced Micro Devices Inc. shares rose in the extended session Wednesday after the chip maker’s quarterly results topped Wall Street estimates.,,,,,,",AMD stock rises after best earnings in 7 years
2356,VTR,nan,Brookdale restructures lease agreements with Ventas
2357,ES,"Eversource Energy upgraded to Buy at Janney after pullback,,,,,,",Eversource Energy upgraded to Buy at Janney after pullback
2358,NEE,"Zacks Industry Outlook Highlights: Jinko Solar, Azure Power Global, Dominion Midstream, SunPower and NextEra Energy Partners,,,,,,","Zacks Industry Outlook Highlights: Jinko Solar, Azure Power Global, Dominion Midstream, SunPower and NextEra Energy Partners"
2359,AET,nan,CVS and Aetna rally on no challenge from DOJ
2360,RL,"March.,,,,,,","Tiffany, 3 Other Luxury Retailers No BargainsMichael Kors and Ralph Lauren beat on earnings but peaked in price, while Movado and Tiffany prepare their earnings for mid"
2361,APH,nan,San Francisco dismisses marijuana convictions
2362,DLTR,"NA,,,,,,",Dollar Stores: Dollar Tree Or Dollarama  Which One Is Better Right Now?
2363,CVX,"Alan Valdes of Silverbear Capital joins Yahoo Finance's Seana Smith from the floor of the New York Stock Exchange to discuss the latest market moves.Here's the performance of select energy stocks as of 3:00 pm ET:CHK,Chesapeake Energy Corp,4.8...,,,,",NYSE trader: Here's why crude oil is sinking
2364,FL,nan,Eyes on consumer prices
2365,CMCSA,"The telecom industry witnessed strong performances by most of the key stocks last week.,,,,,,","Telecom Stock Roundup: Comcast Posts Strong Q4, Mixed Bag for Verizon, Crown Castle"
2366,CMG," Chipotle Mexican Grill Inc said on Wednesday it would launch a customer loyalty program in 2019, as the troubled burrito chain seeks to right course after consumer fatigue and a rash of food safety lapses dragged on the brand.,,,,,,",Chipotle to launch new loyalty program in 2019June 27 (Reuters) 
2367,BA,"A Dutch airliner was forced to make an emergency landing after a passenger’s overpowering body odor caused others to vomit and faint, according to a report. The Transavia Boeing 737 took off Tuesday night from Amsterdam for the Spanish island of G...,,,,,,","Reeking passenger caused vomiting, fainting and emergency landing"
2368,XOM,"member Oil and Gas Climate Initiative, becoming the first U.S.-headquartered companies to join the group.,,,,,,","Exxon Mobil and Chevron will join global energy giants in climate initiative, reversing positionExxon Mobil, Chevron and Occidental Petroleum will join the 10"
2369,PBCT,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does People's United (PBCT) have what it takes? Let's find out.,,,,,,",People's United (PBCT) is a Top Dividend Stock Right Now: Should You Buy?
2370,HPQ,nan,Facebook turns to Lucio for chief marketing role
2371,ES,"NA,,,,,,",The Art Of The M&A Deal  Connecticut Water Service
2372,DHI,"The numbers are getting uglier for potential homebuyers and homeowners looking to save money.,,,,,,","Mortgage applications tank even more, as rising rates make homes less affordable"
2373,GRMN,"Indian Post Payments Bank will begin its nationwide rollout in April, the government said on Saturday, refuting reports of revised or delayed timelines. ""India Post Payments Bank (IPPB) Expansion Programme continues to make brisk progress and a na...,,,,,,",Indian Post Payments Bank will begin nationwide rollout in April
2374,ALL,nan,Aristocrat Leisure Is Now Up 303%. Time To Sell?
2375,COF,nan,Capital One Credit Card Charge Offs Are Rising
2376,BIIB,"NA,,,,,,",Oklahoma first state to negotiate efficacybased drug prices
2377,CA,"Shares in Carrefour Brasildropped over 4 percent on Tuesday after the country'slargest food retailer reported quarterly results that fell shortof analyst expectations.,,,,,,",UPDATE 2Shares in Carrefour Brasil drop as profit disappoints
2378,JWN,"Bucking the overall trend in retail, Nordstrom opens its first ever men's store. CNBC's Eric Chemi describes the unique store,,,,,,",Nordstrom opens a brand new store in Manhattan
2379,CMCSA,nan,Wall Street Breakfast: Facebook Back In The Spotlight
2380,PSX,"Phillips 66 will repurchase 35 million shares for $93.725 per share. The buyback will bring Berkshire's stake in Phillips 66 to slightly below 10 percent. “This transaction was solely motivated by our desire to eliminate the regulatory requirement...,,,,,,",Phillips 66 to buy back 35 mln shares from Berkshire Hathaway
2381,CCL,"Thousands of colorfully dressed dancers and musicians kicked off Carnival celebrations in the Bolivian city of Oruro on Saturday. (Feb. 10),,,,,,",Thousands Celebrate Bolivia's Oruro Carnival
2382,APH,nan,Weekly Cannabis Report: Ontario To Allow Private Retailers
2383,EA,nan,Videogame stocks hit record highs in wake of upbeat EA forecast
2384,IVZ,"ranked Invesco mutual funds. Each has earned a Zacks Mutual Fund Rank #1 (Strong Buy),,,,,,",3 Invesco Mutual Funds Worth Investing InBelow we share with you three best
2385,ALL,"Allstate (ALL) expects to suffer loss from catastrophe events in May.,,,,,,",Allstate (ALL) Catastrophe Woes Continue With Losses in May
2386,RMD,"ResMed (RMD) beats earnings and sales in Q2 on solid contributions from domestic and international businesses.,,,,,,",ResMed (RMD) Beats Q2 Earnings & Sales on Growth in All Lines
2387,BDX,nan,The 2018 Dividend Aristocrats: 25+ Years Of Rising Dividends (Video)
2388,CMCSA," Walt Disney Co raised its bid for the bulk of Twenty-First Century Fox Inc's film and television assets to $71.3 billion (£54 billion) on Wednesday, sweetening its deal with cash as it looks to upend Comcast Corp's $65 billion offer.,,,,,,","Disney hikes bid for Fox assets to $71.3 billion, tops Comcast(Reuters) "
2389,KSU,"Kansas City Southern, a regional U.S. railroad operator with extensive operations in Mexico, topped Wall Street estimates for quarterly profit on Friday, as it transported higher volumes of petroleum, cars and chemicals.,,,,,,","UPDATE 3Kansas City Southern's profit tops Wall St view, shares up"
2390,TSCO,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Tesco says Charles Wilson to step down as CEO for U.K. and IrelandThis is a Real
2391,GLW,"NA,,,,,,",Corning Is A Buy  Cramer's Lightning Round (3/12/18)
2392,MO,nan,Value And Quality Stocks In Consumer Staples
2393,HD,"Home Depot said sales were hurt by a ""slow start to the spring selling season."",,,,,,","Home Depot's shares fall on sales miss, after slow start to spring"
2394,ANTM,"Anthem Inc reported a 23 percent rise in quarterly profit on Wednesday, helped by premium rate increases.,,,,,,",U.S. health insurer Anthem quarterly profit rises 23 percent
2395,TSCO,"The UK's top share index rose on Wednesday as the pound held near recent lows before a speech from Prime Minister Theresa May, while Tesco fell after a disappointing update.,,,,,,",FTSE joins European bounce as eyes turn to May speech; Tesco drops
2396,KMB,"quarter net profit on Wednesday, boosted by higher interest and fee income, but missed analysts' expectations.,,,,,,","Kotak Mahindra Bank Q2 profit rises nearly 15 percent, misses estimatesKotak Mahindra Bank Ltd posted a 14.8 percent rise in second"
2397,MSI,nan,"Motorola Solutions in deal with UK on ESN, Airwave networks"
2398,EA,"game revenue took the spotlight off the ""Star Wars: Battlefront 2"" controversy.,,,,,,",2 Reasons Investors Loved Electronic Arts' Third QuarterGrowth in the video game maker's in
2399,SYK,nan,Stryker Is One Stock Worth Overpaying For
2400,FTI,"year anniversary of the breach, highlighting the lack of any enforcement action yet by the two agencies responsible for oversight of credit reporting agencies, the CFPB and FTC.,,,,,,",GAO’s Equifax report: Company left private data vulnerable on several fronts The GAO released its Equifax report on the one
2401,MSFT,"A red 1962 Ferrari 250 GTO sold for $48.4 million on Saturday in California, the most ever paid for a classic car at auction. The vehicle was offered by RM Sotheby’s in Monterey, and was estimated to fetch between $45 million and $60 million, the ...,,,,,,",Rare Ferrari 250 GTO Sells for Record $48.4 Million at Auction
2402,TRV,"based business travelers by steadily adding more nonstop routes from Logan Airport.,,,,,,",JetBlue Airways Continues Growing in Boston as It Targets Business TravelersJetBlue is looking to solidify its appeal among Boston
2403,BLK,"In a post on Twitter on Tuesday, David Hogg remarked on the firms' ownership of gun maker stocks, adding ""if you use them, feel free to let them know."",,,,,,",Student activist David Hogg calls for boycott of Vanguard and BlackRock over gunmaker ownership
